freq,indic_cr,unit,geo\TIME_PERIOD	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 
A,PRIS_OFF_CAP,P_HTHAB,AL	155.98 	: 	: 	158.04 	190.03 	189.70 	189.63 	217.26 	213.32 	216.10 
A,PRIS_OFF_CAP,P_HTHAB,AT	104.75 	102.89 	102.18 	101.87 	102.31 	101.43 	99.69 	100.24 	100.27 	99.64 
A,PRIS_OFF_CAP,P_HTHAB,BA	83.24 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,PRIS_OFF_CAP,P_HTHAB,BE	83.74 	84.73 	87.04 	: 	88.56 	: 	81.32 	: 	80.58 	81.17 
A,PRIS_OFF_CAP,P_HTHAB,BG	134.14 	129.56 	121.27 	108.62 	102.86 	118.69 	119.56 	116.89 	115.79 	117.40 
A,PRIS_OFF_CAP,P_HTHAB,CH	: 	: 	: 	: 	88.91 	89.86 	88.95 	87.15 	86.29 	85.95 
A,PRIS_OFF_CAP,P_HTHAB,CY	44.06 	42.92 	42.73 	: 	56.67 	: 	61.77 	61.09 	64.62 	: 
A,PRIS_OFF_CAP,P_HTHAB,CZ	195.49 	202.82 	199.01 	190.44 	197.20 	196.65 	: 	198.47 	188.70 	186.45 
A,PRIS_OFF_CAP,P_HTHAB,DE	: 	: 	: 	93.84 	91.03 	89.60 	89.19 	89.85 	87.89 	87.00 
A,PRIS_OFF_CAP,P_HTHAB,DK	: 	: 	: 	73.80 	66.45 	61.71 	62.48 	65.64 	67.98 	70.33 
A,PRIS_OFF_CAP,P_HTHAB,EE	275.41 	: 	259.06 	225.11 	: 	221.51 	221.57 	252.74 	247.43 	246.66 
A,PRIS_OFF_CAP,P_HTHAB,EL	93.28 	89.17 	90.05 	90.47 	91.05 	91.02 	92.26 	92.49 	92.64 	94.93 
A,PRIS_OFF_CAP,P_HTHAB,ES	: 	: 	: 	: 	: 	138.12 	137.79 	137.67 	136.85 	136.13 
A,PRIS_OFF_CAP,P_HTHAB,FI	: 	: 	: 	56.56 	56.27 	53.92 	53.10 	53.96 	52.16 	54.24 
A,PRIS_OFF_CAP,P_HTHAB,FR	88.08 	87.31 	87.68 	87.71 	88.08 	88.06 	89.46 	89.74 	90.86 	89.99 
A,PRIS_OFF_CAP,P_HTHAB,HR	91.40 	91.70 	92.00 	94.71 	95.19 	: 	93.88 	94.99 	96.14 	96.57 
A,PRIS_OFF_CAP,P_HTHAB,HU	126.22 	126.59 	127.00 	127.40 	134.02 	140.11 	143.00 	144.70 	152.12 	162.80 
A,PRIS_OFF_CAP,P_HTHAB,IE	98.01 	100.86 	92.44 	90.00 	101.43 	: 	: 	: 	: 	: 
A,PRIS_OFF_CAP,P_HTHAB,IS	: 	44.12 	50.95 	47.59 	44.97 	42.10 	: 	: 	: 	: 
A,PRIS_OFF_CAP,P_HTHAB,IT	78.25 	80.59 	81.36 	83.04 	82.95 	83.75 	84.30 	84.55 	85.68 	85.72 
A,PRIS_OFF_CAP,P_HTHAB,LI	55.33 	54.83 	54.29 	53.87 	53.52 	53.16 	52.90 	52.47 	52.11 	51.62 
A,PRIS_OFF_CAP,P_HTHAB,LT	307.90 	312.92 	316.26 	319.32 	321.74 	277.34 	281.29 	285.20 	258.97 	258.98 
A,PRIS_OFF_CAP,P_HTHAB,LU	: 	: 	: 	129.35 	126.30 	123.38 	120.37 	118.11 	115.82 	113.56 
A,PRIS_OFF_CAP,P_HTHAB,LV	: 	389.77 	402.41 	292.39 	294.65 	223.93 	302.03 	273.32 	251.15 	252.77 
A,PRIS_OFF_CAP,P_HTHAB,ME	180.04 	179.91 	179.74 	: 	: 	220.98 	216.10 	216.11 	214.25 	214.35 
A,PRIS_OFF_CAP,P_HTHAB,MK	94.35 	: 	: 	: 	: 	: 	121.47 	: 	: 	: 
A,PRIS_OFF_CAP,P_HTHAB,MT	148.92 	154.71 	149.04 	146.22 	141.46 	149.86 	146.64 	184.57 	192.88 	185.01 
A,PRIS_OFF_CAP,P_HTHAB,NL	93.11 	94.03 	91.08 	87.14 	84.61 	: 	70.69 	72.03 	67.20 	69.49 
A,PRIS_OFF_CAP,P_HTHAB,NO	: 	: 	: 	76.66 	74.52 	74.46 	73.88 	73.36 	68.43 	71.09 
A,PRIS_OFF_CAP,P_HTHAB,PL	231.09 	232.50 	232.94 	230.79 	234.61 	234.88 	228.76 	226.30 	225.82 	226.75 
A,PRIS_OFF_CAP,P_HTHAB,PT	116.62 	117.07 	118.24 	120.75 	121.36 	121.84 	123.13 	125.68 	125.86 	125.52 
A,PRIS_OFF_CAP,P_HTHAB,RO	124.30 	134.98 	146.80 	144.89 	138.29 	141.13 	103.89 	99.39 	100.55 	101.05 
A,PRIS_OFF_CAP,P_HTHAB,RS	95.48 	124.71 	128.11 	130.69 	132.96 	138.52 	140.51 	147.21 	148.24 	159.95 
A,PRIS_OFF_CAP,P_HTHAB,SE	74.82 	73.43 	69.85 	67.13 	64.24 	63.47 	61.50 	64.61 	65.07 	67.38 
A,PRIS_OFF_CAP,P_HTHAB,SI	63.85 	63.68 	62.80 	65.50 	66.85 	64.04 	64.81 	64.78 	64.35 	63.32 
A,PRIS_OFF_CAP,P_HTHAB,SK	207.72 	209.17 	218.30 	218.39 	206.30 	203.33 	201.29 	211.26 	213.29 	213.00 
A,PRIS_OFF_CAP,P_HTHAB,TR	158.37 	190.65 	203.78 	212.77 	228.63 	257.39 	261.58 	264.65 	292.33 	294.87 
A,PRIS_OFF_CAP,P_HTHAB,UKC-L	164.86 	164.86 	155.83 	156.95 	154.52 	153.39 	151.72 	150.08 	: 	: 
A,PRIS_OFF_CAP,P_HTHAB,UKN	97.54 	97.03 	104.29 	104.18 	97.07 	: 	: 	98.88 	: 	: 
A,PRIS_OFF_CAP,P_HTHAB,XK	82.71 	: 	: 	: 	: 	129.26 	128.40 	87.13 	144.24 	143.20 
