Country Rank,Regional Rank,Country/Territory,Country Code,CPI 2015 Score,Number of Surveys Used,Std Error,Min,Max,90% Lower CI,90%Upper CI,World Bank CPIA,World  Economic Forum EOS,Bertelsmann  Foundation TI,Arican Development Bank,IMD World Competitiveness Year Book,Bertelsmann Foundation SGI,World Justice Project ROL,PRS Internationl Country Risk Guide,Economist Intelligence Unit,IHS Global Insight,PERC Asia Risk Guide,Freedom House NIT
1,1,Denmark,DNK,91,7,2.16,83,98,87,95,,89,,,96,97,88,98,88,83,,
3,2,Finland,FIN,90,7,1.77,83,98,87,93,,93,,,91,89,88,98,88,83,,
4,3,Sweden,SWE,89,7,1.71,83,98,86,92,,89,,,87,89,88,98,88,83,,
5,4,Norway,NOR,88,7,2.24,81,98,84,92,,92,,,84,81,90,98,88,83,,
6,5,Switzerland,CHE,86,6,2.55,73,89,82,90,,87,,,88,89,,89,88,73,,
7,6,Luxembourg,LUX,85,5,1.60,81,89,82,88,,89,,,85,81,,89,,83,,
9,7,Netherlands,NLD,84,7,1.98,73,89,81,87,,84,,,85,73,85,89,88,83,,
11,8,Germany,DEU,81,7,2.50,72,89,77,85,,72,,,83,81,80,89,88,73,,
11,8,United Kingdom,GBR,81,7,2.40,73,89,77,85,,82,,,81,73,80,89,88,73,,
13,10,Iceland,ISL,79,5,4.53,65,89,72,86,,87,,,83,65,,89,,73,,
15,11,Belgium,BEL,77,7,1.34,71,81,75,79,,79,,,77,81,76,79,71,73,,
16,12,Austria,AUT,76,7,1.76,70,81,73,79,,77,,,70,81,81,79,71,73,,
18,13,Ireland,IRL,75,6,4.92,54,89,67,83,,89,,,83,73,,79,54,73,,
23,14,Estonia,EST,70,9,2.79,54,81,65,75,,79,75,,73,81,71,69,54,63,,66
23,14,France,FRA,70,7,2.49,57,79,66,74,,70,,,71,57,71,79,71,73,,
28,16,Portugal,PRT,64,7,2.50,54,73,60,68,,62,,,58,65,68,69,54,73,,
29,17,Poland,POL,63,9,2.59,54,73,59,67,,58,71,,58,73,67,60,54,73,,55
32,18,Cyprus,CYP,61,5,4.17,49,71,54,68,,55,,,,49,,69,71,63,,
34,19,Malta,MLT,60,4,1.32,57,63,58,62,,58,,,,57,,60,,63,,
34,19,Slovenia,SVN,60,9,2.93,42,73,55,65,,62,66,,42,57,58,60,54,73,,66
36,21,Lithuania,LTU,59,8,1.92,51,66,56,62,,60,66,,51,65,,60,54,63,,55
37,22,Spain,ESP,58,7,4.07,37,71,51,65,,55,,,37,57,65,60,71,63,,
38,23,Czech Republic,CZE,56,9,2.21,44,66,52,60,,53,66,,44,57,59,50,54,63,,55
38,23,Latvia,LVA,56,8,2.76,48,73,51,61,,56,58,,48,73,,50,54,52,,60
50,25,Croatia,HRV,51,9,2.02,41,62,48,54,,46,62,,41,57,50,50,54,52,,50
50,25,Hungary,HUN,51,9,3.73,34,71,45,57,,47,53,,34,41,44,50,71,63,,52
50,25,Slovakia,SVK,51,8,3.63,35,63,45,57,,38,62,,35,57,,50,54,63,,52
58,28,Greece,GRC,46,7,5.08,21,63,38,54,,45,,,43,57,50,41,21,63,,
58,28,Romania,ROM,46,9,3.11,36,62,41,51,,36,62,,37,57,45,41,38,42,,52
61,30,Italy,ITA,44,7,2.50,35,54,40,48,,47,,,35,49,54,41,38,42,,
69,31,Bulgaria,BGR,41,9,2.43,32,53,37,45,,38,53,,32,49,32,41,38,42,,47
